"type","subplot","n"
"height_profile_laz","S7S7",20141986
"height_profile_laz","S7S8",19411
"height_profile_laz","S7S9",10582066
"height_profile_laz","W11S1",12374303
"height_profile_laz","W11S2",29821790
"height_profile_laz","W11S3",25933612
"height_profile_laz","W11S4",33364612
"height_profile_laz","W11S5",26698773
"height_profile_laz","W11S6",36594032
"height_profile_laz","W11S7",13380072
"height_profile_laz","W11S8",31564116
"height_profile_laz","W11S9",32934793
"height_profile_laz","W18S1",25214121
"height_profile_laz","W18S2",0
"height_profile_laz","W18S3",17758672
"height_profile_laz","W18S4",46070134
"height_profile_laz","W18S5",27747487
"height_profile_laz","W18S6",25083942
"height_profile_laz","W18S7",26720996
"height_profile_laz","W18S8",10577242
"height_profile_laz","W18S9",23739989
"height_profile_laz","W26S1",47995585
"height_profile_laz","W26S2",28290842
"height_profile_laz","W26S3",30939444
"height_profile_laz","W26S4",36372353
"height_profile_laz","W26S5",30739629
"height_profile_laz","W26S7",32567029
"height_profile_laz","W26S8",34659758
"height_profile_laz","W26S9",22645279
"height_profile_laz","W9S1",24036166
"height_profile_laz","W9S2",24590331
"height_profile_laz","W9S3",11939960
"height_profile_laz","W9S4",13925234
"height_profile_laz","W9S5",11982322
"height_profile_laz","W9S6",26057032
"height_profile_laz","W9S7",29604296
"height_profile_laz","W9S8",8937099
"height_profile_laz","W9S9",14805235

