"plot_id","plot_name","subplot","target","point_id","lon","lat","ground_elev","antenna_elev","target_offset","target_elev","country","utm","centre"
"ABG_2","P2","S2","TC","P2S2TC",480026.0443,8329089.4908,1259.2725,0.59,0.165,1260.0275,"AGO","33S",TRUE
"ABG_2","P2","S3","T1","P2S3T1",480056.2853,8329060.1465,1260.4455,0.631,0.165,1261.2415,"AGO","33S",FALSE
"ABG_2","P2","S3","T2","P2S3T2",480045.4465,8329057.3817,1260.3951,0.693,0.165,1261.2531,"AGO","33S",FALSE
"ABG_2","P2","S3","T3","P2S3T3",480041.7366,8329062.4146,1260.2749,0.663,0.165,1261.1029,"AGO","33S",FALSE
"ABG_2","P2","S3","T4","P2S3T4",480047.3842,8329069.5656,1260.1327,0.566,0.165,1260.8637,"AGO","33S",FALSE
"ABG_2","P2","S3","TC","P2S3TC",480049.1481,8329062.0629,1260.3732,0.605,0.165,1261.1432,"AGO","33S",TRUE
"ABG_2","P2","S4","T1","P2S4T1",480029.6907,8329037.5908,1260.756,0.64,0.165,1261.561,"AGO","33S",FALSE
"ABG_2","P2","S4","T2","P2S4T2",480019.9647,8329028.5343,1260.8746,0.607,0.165,1261.6466,"AGO","33S",FALSE
"ABG_2","P2","S4","T3","P2S4T3",480018.0489,8329041.7633,1260.5249,0.668,0.165,1261.3579,"AGO","33S",FALSE
"ABG_2","P2","S4","T4","P2S4T4",480023.8705,8329043.1911,1260.5177,0.611,0.165,1261.2937,"AGO","33S",FALSE
"ABG_2","P2","S4","TC","P2S4TC",480024.5504,8329037.5516,1260.7095,0.625,0.165,1261.4995,"AGO","33S",TRUE
"ABG_2","P2","S5","T1","P2S5T1",480012.2514,8329064.5124,1259.9007,0.609,0.165,1260.6747,"AGO","33S",FALSE
"ABG_2","P2","S5","T2","P2S5T2",480003.3428,8329058.414,1259.8521,0.672,0.165,1260.6891,"AGO","33S",FALSE
"ABG_2","P2","S5","T3","P2S5T3",479992.9388,8329068.0873,1259.4389,0.587,0.165,1260.1909,"AGO","33S",FALSE
"ABG_2","P2","S5","T4","P2S5T4",480000.8747,8329076.4214,1259.4603,0.551,0.165,1260.1763,"AGO","33S",FALSE
"ABG_2","P2","S5","TC","P2S5TC",480002.1317,8329067.7773,1259.5707,0.585,0.165,1260.3207,"AGO","33S",TRUE
"ABG_2","P2","S6","T1","P2S6T1",479989.5371,8329091.843,1258.6468,0.677,0.165,1259.4888,"AGO","33S",FALSE
"ABG_2","P2","S6","T2","P2S6T2",479981.6305,8329080.6498,1258.9212,0.624,0.165,1259.7102,"AGO","33S",FALSE
"ABG_2","P2","S6","T3","P2S6T3",479970.4127,8329091.1061,1258.3881,0.66,0.165,1259.2131,"AGO","33S",FALSE
"ABG_2","P2","S6","TC","P2S6TC",479980.5482,8329090.8218,1258.6073,0.692,0.165,1259.4643,"AGO","33S",TRUE
"ABG_2","P2","S7","T1","P2S7T1",479964.33,8329064.28,1259.2237,0.644,0.165,1260.0327,"AGO","33S",FALSE
"ABG_2","P2","S7","T2","P2S7T2",479956.7869,8329060.8979,1259.2117,0.641,0.165,1260.0177,"AGO","33S",FALSE
"ABG_2","P2","S7","T3","P2S7T3",479947.1594,8329067.8423,1258.8413,0.63,0.165,1259.6363,"AGO","33S",FALSE
"ABG_2","P2","S7","T4","P2S7T4",479958.3773,8329079.0832,1258.5508,0.654,0.165,1259.3698,"AGO","33S",FALSE
"ABG_2","P2","S7","TC","P2S7TC",479954.6792,8329066.784,1259.0135,0.719,0.165,1259.8975,"AGO","33S",TRUE
"ABG_2","P2","S8","T2","P2S8T2",479976.7442,8329034.8484,1260.2852,0.64,0.165,1261.0902,"AGO","33S",FALSE
"ABG_2","P2","S8","T3","P2S8T3",479968.1033,8329047.1981,1259.757,0.643,0.165,1260.565,"AGO","33S",FALSE
"ABG_2","P2","S8","T4","P2S8T4",479980.8455,8329052.0173,1259.7343,0.676,0.165,1260.5753,"AGO","33S",FALSE
