plot_name,subplot,direction,vol,plot_id,dpm,sampled,date,dry_mass
P15,S5,N,0.284500184,ABG_15,9,FALSE,23/03/2019,NA
P15,S5,S,0.195664624,ABG_15,11,FALSE,23/03/2019,NA
P15,S5,W,0.330530668,ABG_15,22,FALSE,23/03/2019,NA
P15,S6,E,0.323644972,ABG_15,15,FALSE,23/03/2019,NA
P15,S6,N,0.194687133,ABG_15,3,TRUE,23/03/2019,13.13
P15,S6,S,0.173130233,ABG_15,22,FALSE,23/03/2019,NA
P15,S6,W,0.293757583,ABG_15,17,FALSE,23/03/2019,NA
P15,S7,E,0.355032312,ABG_15,7,FALSE,23/03/2019,NA
P15,S7,N,0.272871411,ABG_15,7,FALSE,23/03/2019,NA
P15,S7,S,0.214723879,ABG_15,3,FALSE,23/03/2019,NA
P15,S7,W,0.204287577,ABG_15,44,FALSE,23/03/2019,NA
P15,S8,E,0.291251965,ABG_15,25,FALSE,23/03/2019,NA
P15,S8,N,0.387235484,ABG_15,30,FALSE,23/03/2019,NA
P15,S8,S,0.308321111,ABG_15,55,FALSE,23/03/2019,NA
P15,S8,W,0.223619735,ABG_15,10,FALSE,23/03/2019,NA
P15,S9,E,0.216866882,ABG_15,35,TRUE,23/03/2019,69
P15,S9,N,0.189760444,ABG_15,15,TRUE,23/03/2019,59.05
P15,S9,S,0.17624655,ABG_15,19,FALSE,23/03/2019,NA
P15,S9,W,0.300072053,ABG_15,9,FALSE,23/03/2019,NA
P1,S1,E,0.078370377,ABG_1,2,TRUE,24/02/2019,9.57
P1,S1,N,0.588895592,ABG_1,1,FALSE,24/02/2019,NA
P1,S1,S,0.138553114,ABG_1,2,FALSE,24/02/2019,NA
P1,S1,W,0.055075646,ABG_1,1,FALSE,24/02/2019,NA
P1,S2,E,0.046531097,ABG_1,1,TRUE,24/02/2019,21.49
P1,S2,N,0.05576918,ABG_1,3,FALSE,24/02/2019,NA
P1,S2,S,0.121475705,ABG_1,2,FALSE,24/02/2019,NA
P1,S2,W,0.040476173,ABG_1,1,FALSE,24/02/2019,NA
P1,S3,E,0.087123206,ABG_1,5,TRUE,24/02/2019,25.2
P1,S3,N,0.064197352,ABG_1,0,FALSE,24/02/2019,NA
P1,S3,S,0.351056309,ABG_1,6,FALSE,24/02/2019,NA
P1,S3,W,0.1555545,ABG_1,0,FALSE,24/02/2019,NA
P1,S4,E,0.206129343,ABG_1,0,FALSE,24/02/2019,NA
P1,S4,N,0.057908307,ABG_1,1,FALSE,24/02/2019,NA
P1,S4,S,0.138070553,ABG_1,1,FALSE,24/02/2019,NA
P1,S4,W,0.072382479,ABG_1,1,FALSE,24/02/2019,NA
P1,S5,E,0.265442435,ABG_1,0,FALSE,24/02/2019,NA
P1,S5,N,0.081491151,ABG_1,0,TRUE,24/02/2019,6.64
P1,S5,S,0.003330941,ABG_1,6,FALSE,24/02/2019,NA
P1,S5,W,0.031667342,ABG_1,0,FALSE,24/02/2019,NA
P1,S6,E,0.211697838,ABG_1,0,FALSE,24/02/2019,NA
P1,S6,N,0.016761754,ABG_1,1,FALSE,24/02/2019,NA
P1,S6,S,0.111145221,ABG_1,1,FALSE,24/02/2019,NA
P1,S6,W,0.210671249,ABG_1,3,TRUE,24/02/2019,35.19
P1,S7,E,0.179588707,ABG_1,1,FALSE,24/02/2019,NA
P1,S7,N,0.341025903,ABG_1,4,FALSE,24/02/2019,NA
P1,S7,S,0.234352412,ABG_1,1,FALSE,24/02/2019,NA
P1,S7,W,0.405185594,ABG_1,3,FALSE,24/02/2019,NA
P1,S8,E,0.065156989,ABG_1,0,FALSE,24/02/2019,NA
P1,S8,N,0.054158699,ABG_1,2,FALSE,24/02/2019,NA
