"plot_id","subplot","layer_div","auc_canopy","height_q95","height_q99","dens_peak_height","point_cov","shannon","cum_lm_resid","cum_lm_slope","cum_lm_se","weib_shape","weib_scale","n_maxima","n_minima"
"ABG_4","S5",10.8281919004621,11531.695,7.1,8.45,2.2,0.578197913958147,2.54970767758531,322.489016609839,1324758.95106071,20623.9104860949,1.71402413005678,35327.3975518204,2,3
"ABG_4","S6",16.1289355602588,38327.66125,10.15,11.3,6.35,0.405834276857696,2.92495719588209,985.411914000697,5177644.19007676,40355.5262496949,2.64661485426422,89657.0374061055,1,1
"ABG_4","S7",6.64308659698914,7979.0325,6.4,7.6,2.9,0.584270914352231,2.4474846202148,198.935833027237,895868.232641025,15935.2865041869,1.7551392727026,26735.2713448089,2,2
"ABG_4","S8",8.22288512335729,6202.86125,8.55,9.75,8.8,0.429010555366712,2.76713282623664,156.400225543941,783358.493384726,7890.02820249554,2.60021053948674,16555.6960770729,3,2
"ABG_4","S9",4.8540314192068,2750.195,8.45,11.3,2.5,0.452475960840849,2.83444059645489,104.861901482852,282862.49494555,4581.91089502158,2.4614679884521,6747.83863471371,3,2
"ABG_5","S1",11.7012116269861,47928.52125,14.6,15.75,6.6,2.12297982560371,2.4510179741864,2166.07498694495,3821299.30638439,100054.000040844,0.787534552447613,66737.4163130141,2,2
"ABG_5","S2",24.6749116318634,67450.91,15.1,16.65,10.6,0.365632350899066,3.352177833634,2309.11008582758,8664974.76723883,56554.2730004913,3.13127901083201,100264.458098555,6,4
"ABG_5","S3",16.7698675613956,27104.455,9.4,14.2,6.5,1.24025187781485,2.74271424394826,3378.68714645694,3796666.74461052,88630.1908171067,0.853467886173971,36762.6325120981,2,2
"ABG_5","S4",20.5844928241914,28622.68875,11.5,13.8,6.5,1.32371513169876,2.89884827444657,2826.40048053116,3643831.05237414,78108.1447482163,1.08917059607044,45427.1948158635,3,4
"ABG_5","S5",18.6236889138766,27144.1475,11,12.6,3.7,0.620467600964501,2.96374104083088,1693.51681336528,3039074.07792665,57014.9048816251,1.68480358180923,53173.8677652029,2,1
"ABG_5","S6",11.4210946910262,20924.05625,7.55,8.45,6.15,0.417209608701368,2.54237587779842,444.326952094824,2765265.6292329,31104.7627461619,2.61918097833955,70355.8544942144,1,1
"ABG_5","S7",13.9297913755481,31461.81625,7.85,8.55,5.5,0.445816060721548,2.59688121075695,623.647063704148,4206849.7490855,41984.5051939138,2.1607695054228,102908.747992435,1,0
"ABG_5","S8",8.87130797854127,37538.30875,12.3,14.3,6.45,2.0848907743381,2.1763891439985,2247.710377796,3128947.28287719,125986.001523164,0.756710261801809,64702.811448449,2,2
"ABG_5","S9",10.7188379623396,44935.30125,12.25,12.85,6.5,1.20700550521505,2.36767870287942,1302.58775130949,4650984.3402658,113644.052476587,1.13364114112566,128008.439381809,2,2
"ABG_6","S1",13.0630419054441,18723.755,10.15,10.9,6.4,0.568329397541452,2.79205624852521,605.698633625339,2497652.21406877,28729.1648953355,1.9117635532101,45456.7016721949,2,2
